iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
163	5385	440.5	71	24.6836	20.7546	278291	0.0793199	0.0249749	0	0.0207147	0.00564102	0.00550105
164	5388	440.5	71	24.6838	20.7552	278296	0.082559	0.0264143	0	0.0212702	0.00579816	0.00549987
165	5387.5	440.5	71	24.685	20.756	278308	0.0736034	0.0218188	0	0.0201456	0.00548569	0.00549884
166	5387.25	440.5	71	24.6859	20.7566	278317	0.0835468	0.0269211	0	0.0213918	0.0058365	0.00549777
167	5390.25	440.5	71	24.687	20.7572	278327	0.085559	0.0278808	0	0.0216955	0.00591806	0.00549675
168	5392	440.5	71	24.6882	20.7579	278338	0.0770046	0.0237809	0	0.0204268	0.00556076	0.0054957
169	5393.75	440.5	71	24.6894	20.7586	278348	0.084658	0.0289463	0	0.0205492	0.00559966	0.00549465
170	5394.75	440.5	71	24.6906	20.7592	278358	0.0832988	0.0287969	0	0.0200089	0.00544709	0.0054936
171	5397.5	440.5	71	24.6918	20.7598	278368	0.0854388	0.0281702	0	0.0214513	0.00583862	0.00549253
172	5398.75	440.5	71	24.693	20.7605	278378	0.0835718	0.0281087	0	0.0206131	0.00560132	0.00549145
173	5397	440.5	71	24.6942	20.7612	278389	0.0787875	0.0251586	0	0.0203488	0.00552474	0.00549034
174	5398.25	440.5	71	24.6953	20.7619	278399	0.0702069	0.0202087	0	0.0196339	0.00533706	0.00548924
175	5398.75	440.5	71	24.6964	20.7625	278409	0.0849581	0.0293237	0	0.0204403	0.00556348	0.00548815
176	5400.5	440.5	71	24.6962	20.7634	278415	0.0758478	0.0241571	0	0.0196261	0.00533728	0.00548703
177	5402.5	440.5	71	24.6969	20.764	278423	0.0802736	0.0272815	0	0.0196002	0.00533705	0.00548593
178	5402	440.5	71	24.6981	20.7646	278433	0.0845684	0.0286183	0	0.0207353	0.00564182	0.00548485
179	5400.25	440.5	71	24.6992	20.7653	278443	0.0860261	0.0291888	0	0.0210436	0.00572114	0.00548375
180	5399.25	440.5	71	24.7004	20.7659	278453	0.0833103	0.0285145	0	0.0202168	0.00548869	0.00548263
181	5399.75	440.5	71	24.7015	20.7666	278463	0.0875903	0.0302256	0	0.0210904	0.00572239	0.00548153
182	5398.5	440.5	71	24.7026	20.7673	278474	0.0848846	0.0295581	0	0.0202644	0.00548995	0.00548042
183	5398.5	440.5	71	24.7038	20.7679	278483	0.0846964	0.0285593	0	0.0208574	0.00564497	0.00547936
184	5400.25	440.5	71	24.705	20.7686	278494	0.0849199	0.0293144	0	0.0204551	0.00552943	0.0054783
185	5399.25	440.5	71	24.7061	20.7692	278503	0.0847262	0.0285178	0	0.0209087	0.00564629	0.00547722
186	5396.75	440.5	71	24.7072	20.7699	278513	0.0857949	0.0285966	0	0.0213667	0.00576558	0.00547614
187	5395	440.5	71	24.7082	20.7705	278523	0.0822401	0.0265061	0	0.0211033	0.00568685	0.00547508
188	5394.75	440.5	71	24.7088	20.7711	278531	0.0746018	0.0236368	0	0.0194226	0.00523347	0.005474
189	5394.75	440.25	71	24.7071	20.7688	278523	0.0793601	0.0265879	0	0.0196736	0.00530684	0.00547293
190	5397	440.25	71	24.7082	20.7694	278533	0.0809392	0.0268767	0	0.0202272	0.00545672	0.0054719
191	5396.25	440.25	71	24.7093	20.77	278543	0.0839426	0.0274885	0	0.0212408	0.00572863	0.00547089
