iter	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	h_33	h_34	h_35	h_36	h_37	h_38	h_39	h_40	h_41	h_42	h_43	h_44	h_45	h_46	h_47	h_48	h_49	h_50	h_51	h_52	h_53	h_54	h_55	h_56	h_57	h_58	h_59	h_60	h_61	h_62	h_63	h_64	h_65	h_66	h_67	h_68	h_69	h_70
22	0.000390646	0.00174509	0.00188656	0.00216088	0.0026145	0.00337494	0.00378405	0.00394244	0.00419728	0.00431639	0.00473977	0.00486665	0.00484479	0.00469016	0.00482063	0.0047815	0.00513861	0.00593153	0.00613452	0.00695587	0.00691602	0.00686708	0.00654561	0.00646647	0.00616274	0.00579217	0.0053593	0.00541747	0.00493946	0.00479618	0.00415773	0.00397578	0.00351491	0.00289507	0.00254102	0.00199072	0.00159969	0.000834546	0.00073898	0.000497482	0.000235566	0.000145475	0.00013454	0.00013454	4.3712e-05	4.3712e-05	4.3712e-05	6.17009e-06	6.17009e-06	6.17009e-06	6.17009e-06	6.17009e-06	6.17009e-06	6.17009e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	0.000384336	0.00171838	0.00185117	0.00209765	0.00253506	0.00327356	0.00367062	0.00382565	0.00407421	0.00419107	0.00460353	0.00472693	0.0047035	0.0045515	0.00467389	0.0046368	0.00497953	0.0057454	0.00593838	0.00670979	0.00669458	0.00664615	0.00633571	0.0062591	0.00596493	0.00562832	0.00518361	0.00523987	0.00477707	0.00463849	0.00402104	0.00384507	0.00339936	0.00279989	0.00245748	0.00192527	0.0015471	0.000807109	0.000714684	0.000481127	0.000227821	0.000140692	0.000130116	0.000130116	4.22749e-05	4.22749e-05	4.22749e-05	5.96723e-06	5.96723e-06	5.96723e-06	5.96723e-06	5.96723e-06	5.96723e-06	5.96723e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	0.00037508	0.00168394	0.00180136	0.00203057	0.00245429	0.00316996	0.00355147	0.00370182	0.0039447	0.00405716	0.00445672	0.00457541	0.00455193	0.00440319	0.00452096	0.00448143	0.00481241	0.00555311	0.00573971	0.00650354	0.00647472	0.00642784	0.0061276	0.0060535	0.00576901	0.00544347	0.00501319	0.0050676	0.00462001	0.004486	0.00388884	0.00371866	0.0032876	0.00270784	0.00237668	0.00186197	0.00149624	0.000780574	0.000691188	0.000465309	0.000220331	0.000136067	0.000125839	0.000125839	4.0885e-05	4.0885e-05	4.0885e-05	5.77105e-06	5.77105e-06	5.77105e-06	5.77105e-06	5.77105e-06	5.77105e-06	5.77105e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	0.000366619	0.00164568	0.00175378	0.00196639	0.00237462	0.00306637	0.00343225	0.00358385	0.00381221	0.00392454	0.00431118	0.00443041	0.0044103	0.00425912	0.00437287	0.0043346	0.00465425	0.00537059	0.00555106	0.00628972	0.00626204	0.0062167	0.00592633	0.00585467	0.00557954	0.00526469	0.00484837	0.00490099	0.00446812	0.00433851	0.00376099	0.0035964	0.00317951	0.00261881	0.00229855	0.00180076	0.00144705	0.000754911	0.000668464	0.000450011	0.000213088	0.000131593	0.000121701	0.000121701	3.95409e-05	3.95409e-05	3.95409e-05	5.58132e-06	5.58132e-06	5.58132e-06	5.58132e-06	5.58132e-06	5.58132e-06	5.58132e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	0.000355518	0.00161124	0.00170059	0.00190508	0.00229694	0.00296643	0.00332039	0.00346682	0.00368785	0.00379699	0.00417084	0.00428607	0.00426634	0.00411945	0.00422945	0.00419247	0.00450129	0.00519409	0.00536862	0.00608294	0.00605617	0.00601232	0.00573149	0.00566219	0.0053961	0.00509161	0.00468898	0.00473986	0.00432123	0.00419587	0.00363734	0.00347816	0.00307498	0.00253271	0.00222298	0.00174155	0.00139947	0.000730092	0.000646487	0.000435216	0.000206082	0.000127267	0.0001177	0.0001177	3.82409e-05	3.82409e-05	3.82409e-05	5.39782e-06	5.39782e-06	5.39782e-06	5.39782e-06	5.39782e-06	5.39782e-06	5.39782e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	0.000350186	0.00159575	0.00166339	0.0018469	0.00223097	0.00287685	0.00322009	0.00336562	0.00357904	0.00368736	0.00405179	0.00416363	0.00413951	0.00399532	0.00409821	0.004063	0.00436225	0.00503129	0.00519722	0.00589175	0.00586276	0.00581926	0.00554812	0.00548103	0.00522351	0.00492491	0.00453533	0.00458455	0.00417916	0.00405793	0.00351776	0.00336382	0.00297388	0.00244945	0.00214989	0.0016843	0.00135346	0.000706089	0.000625233	0.000420908	0.000199307	0.000123083	0.000113831	0.000113831	3.69837e-05	3.69837e-05	3.69837e-05	5.22036e-06	5.22036e-06	5.22036e-06	5.22036e-06	5.22036e-06	5.22036e-06	5.22036e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	0.000363569	0.00164693	0.00175124	0.00198445	0.00240923	0.00310294	0.00347192	0.00362518	0.00385454	0.00396874	0.00436939	0.0045023	0.00448537	0.00433579	0.0044704	0.00444937	0.00478575	0.00554436	0.00573414	0.0065064	0.00647492	0.00644295	0.0061431	0.00606662	0.00579314	0.00545646	0.00503161	0.00507652	0.00463678	0.00448342	0.00389322	0.00372271	0.00329622	0.00271868	0.00238545	0.00187958	0.00151321	0.000793855	0.000703086	0.000477031	0.000224986	0.000139388	0.000127767	0.000127767	4.14409e-05	4.14409e-05	4.14409e-05	5.88056e-06	5.88056e-06	5.88056e-06	5.88056e-06	5.88056e-06	5.88056e-06	5.88056e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	0.000365813	0.00165199	0.00173712	0.00194922	0.00235793	0.00303557	0.00339944	0.00355026	0.00378124	0.00389564	0.0042922	0.00441859	0.00440279	0.00422144	0.0043805	0.00434661	0.00467701	0.0054033	0.0055723	0.00632127	0.00629496	0.00624807	0.00596425	0.00588694	0.00561873	0.00528585	0.00487263	0.00491606	0.0044831	0.00433478	0.00376313	0.00361498	0.00318785	0.0026293	0.00230702	0.00181778	0.00146347	0.000767756	0.000679971	0.000461348	0.00021759	0.000134805	0.000123567	0.000123567	4.00785e-05	4.00785e-05	4.00785e-05	5.68723e-06	5.68723e-06	5.68723e-06	5.68723e-06	5.68723e-06	5.68723e-06	5.68723e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	0.000375308	0.00169167	0.00179574	0.00205554	0.00248065	0.00319308	0.00357156	0.00372355	0.00396851	0.00409158	0.00451962	0.00465655	0.00465098	0.00446434	0.00463789	0.0046171	0.00497307	0.00576009	0.00596194	0.00676833	0.00673656	0.00668811	0.00639471	0.00632656	0.00605025	0.00570038	0.00526494	0.00529876	0.00484192	0.00466796	0.00405518	0.00389722	0.00343664	0.00283465	0.00248282	0.00196701	0.00158249	0.000843985	0.000747394	0.000511594	0.000240684	0.000149485	0.000136153	0.000136153	4.40335e-05	4.40335e-05	4.40335e-05	6.2762e-06	6.2762e-06	6.2762e-06	6.2762e-06	6.2762e-06	6.2762e-06	6.2762e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	0.000383711	0.00172533	0.00185174	0.00214204	0.00258774	0.00332939	0.00371593	0.00387127	0.00412926	0.00425853	0.00470857	0.00485776	0.00485822	0.00467097	0.0048558	0.00484351	0.00522108	0.00605608	0.00628753	0.00714865	0.00710915	0.00706374	0.00676498	0.0066963	0.00639836	0.00602047	0.00556156	0.00557925	0.00510112	0.0048964	0.00424397	0.00408724	0.00360514	0.00297088	0.0025972	0.0020602	0.00164851	0.00089126	0.000790843	0.000543156	0.000247703	0.000159503	0.000146609	0.000146609	4.68263e-05	4.68263e-05	4.68263e-05	6.06986e-06	6.06986e-06	6.06986e-06	6.06986e-06	6.06986e-06	6.06986e-06	6.06986e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
