iter	LAI
1733	5.39688
1734	5.40371
1735	5.40516
1736	5.39948
1737	5.39602
1738	5.39757
1739	5.40409
1740	5.41068
1741	5.41663
1742	5.42144
1743	5.4229
1744	5.42821
1745	5.43337
1746	5.437
1747	5.43616
1748	5.42793
1749	5.42936
1750	5.42022
1751	5.41349
1752	5.42417
1753	5.43291
1754	5.43982
1755	5.4474
1756	5.45273
1757	5.45863
1758	5.46512
1759	5.47097
1760	5.47196
1761	5.47819
1762	5.47804
1763	5.4836
1764	5.47713
1765	5.48401
1766	5.48294
1767	5.48436
1768	5.47603
1769	5.46787
1770	5.47736
1771	5.4851
1772	5.49169
1773	5.48455
1774	5.48181
1775	5.48971
1776	5.49673
1777	5.50131
1778	5.50457
1779	5.51175
1780	5.51844
1781	5.51519
1782	5.51421
1783	5.51061
1784	5.50238
1785	5.49483
1786	5.50087
1787	5.50641
1788	5.4991
1789	5.49094
1790	5.49992
1791	5.50696
1792	5.51178
1793	5.51878
1794	5.52445
1795	5.52951
1796	5.5265
1797	5.53059
1798	5.53258
1799	5.53883
1800	5.54425
1801	5.54477
1802	5.55104
1803	5.55676
1804	5.55396
1805	5.55866
1806	5.56142
1807	5.55721
1808	5.54881
1809	5.54064
1810	5.54297
1811	5.54904
1812	5.55311
1813	5.55672
1814	5.56081
1815	5.56464
1816	5.57114
1817	5.57191
1818	5.57204
1819	5.57878
1820	5.57403
1821	5.56599
1822	5.55739
1823	5.56346
1824	5.56793
1825	5.5602
1826	5.55161
1827	5.5431
1828	5.53562
1829	5.53246
1830	5.52413
1831	5.51609
1832	5.50759
1833	5.50008
1834	5.4914
1835	5.48806
1836	5.47977
1837	5.47196
1838	5.46309
1839	5.45489
1840	5.45749
1841	5.44971
1842	5.44108
1843	5.43365
1844	5.44176
1845	5.43343
1846	5.44111
1847	5.43307
1848	5.42475
1849	5.41647
1850	5.42664
1851	5.4209
1852	5.42081
1853	5.41224
1854	5.40335
1855	5.39488
1856	5.40208
1857	5.40111
1858	5.40271
1859	5.39859
1860	5.38989
1861	5.3818
1862	5.37397
1863	5.36535
1864	5.35658
1865	5.34844
1866	5.35791
1867	5.34925
1868	5.34049
1869	5.33233
1870	5.32358
1871	5.31473
1872	5.30649
1873	5.30429
